Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
proctitis,proctitis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
proctocolitis,proctocolitis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
producción de vacunas en células,cell-based vaccine production,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
producir,induce,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
producto,agent,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
producto agrícola crudo mezclado,commingled raw agricultural commodity,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
producto alimenticio,Food product,USDA-FNS,USDA-FNS,,,Health,,,,,https://www.fsis.usda.gov/wps/portal/informational/en-espanol/hojasinformativas/etiquetado-de-alimentos/fechas-en-productos/fechas-productos-alimentos,,,,,,,,,,,,,
producto biológico,biological product,FDA,FDA,,,Health,Drugs,,"""Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues. Biologics are isolated from a variety of natural sources — human, animal, or microorganism — and may be produced by biotechnology methods and other cutting-edge technologies. Gene-based and cellular biologics, for example, often are at the forefront of biomedical research, and may be used to treat a variety of medical conditions for which no other treatments are available.
In general, the term ""drugs"" includes therapeutic biological products.""",,,,,,,,,,,,,,,
producto biológico terapéutico,therapeutic biological product,FDA,FDA,,,Health,Drugs,,A therapeutic biological product is a protein derived from living material (such as cells or tissues) used to treat or cure disease.,,,,,,,,,,,,,,,
producto de tabaco cubierto,covered tobacco product,FDA,FDA,,,Health,Tobacco,,"means any tobacco product deemed to be subject to the FD&C Act under § 1100.2 of this chapter (i.e., subchapter K), but excludes any component or part that is not made or derived from tobacco (parts 1140, 1143).",,,,,,,,,,,,,,,
producto de tabaco de riesgo modificado,modified risk tobacco product,FDA,FDA,,,Health,Tobacco,,", as defined in Section 911 of the FD&C Act, means any tobacco product that is sold or distributed for use to reduce harm or the risk of tobacco-related disease associated with commercially marketed tobacco products.",,,,,,,,,,,,,,,
producto de tabaco terminado,finished tobacco product,FDA,FDA,,,Health,Tobacco,,", for the purposes of the deeming rule, a finished tobacco product refers to a tobacco product, including all components and parts, sealed in final packaging intended for consumer use (e.g., filters or filter tubes sold separately to consumers or as part of kits).",,,,,,,,,,,,,,,
producto farmacológico,drug product ,FDA,FDA,,,Health,Drugs,,"The finished dosage form that contains a drug substance, generally, but not necessarily in association with other active or inactive ingredients.",,,,,,,,,,,,,,,
producto farmacológico descontinuado,discontinued drug product ,FDA,FDA,,,Health,Drugs,,"""Products listed in Drugs@FDA as ""discontinued"" are approved products that have never been marketed, have been discontinued from marketing, are for military use, are for export only, or have had their approvals withdrawn for reasons other than safety or efficacy after being discontinued from marketing.""",,,,,,,,,,,,,,,
producto previamente homologado,predicate product,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
producto soluble,dissolvable,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
productor*,grower,FDA,FDA,,,Health,Food Industry,,,,*Codex Term,,,,,,,,,,,,,
productos agrícolas crudos,raw produce,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Productos Agrícolas Crudos (RAC por sus siglas en inglés),Raw Agricultural Commodity,FDA,FDA,,RAC,Health,Food Industry,,"The term “raw agricultural commodity” means any food in its raw or natural state, including all fruits that are washed, colored, or otherwise treated in their unpeeled natural form prior to marketing. 
",,FD&C Act 201( r) ,,,,,,,,,,,,,
productos agrícolas frescos,"fresh produce,produce  ",FDA,FDA,,,"Health,Health","Food Industry,Food Industry",,,,,,,,,,,,,,,,,
Productos básicos,domestic commodities ,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
productos combinados,combination products,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
productos de huevo,egg products,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
productos de tabaco,tobacco products,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
productos nuevos y futuros,novel and future products,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
productos pesqueros,fishery products,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
productos radioactivos,radiation-emitting products,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
productos solubles de tabaco,dissolvable tobacco products,FDA,FDA,,,Health,Tobacco,,"means any person who furthers the distribution of a tobacco product, whether domestic or imported, at any point from the original place of manufacture to the person who sells or distributes the product to individuals for personal consumption. Common carriers are not considered distributors for the purposes of part 1140 (part 1140).",,,,,,,,,,,,,,,
"productos, directrices y regulaciones","""products, guidance & regulations """,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
"productos, ingredientes y componentes","""products, ingredients & components""",FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
"profesional en enfermería superior (nurse practitioner, NP)",,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
profesional en enfermería superior certificado,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
profesional en enfermería titulado,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
Profesionales de la salud,health professionals,NIA,NIA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
Profesionales de salud independientes titulados,Licensed Independent Practitioner ,HRSA-BPHC,HRSA-BPHC,,LIP,,,,,,,,,,,,,,,,,,,
profilaxis posexposición,post-exposure prophylaxis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
profilaxis prexposición,pre-exposure prophylaxis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
profilaxis quirúrgica,surgical prophylaxis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
progesterona,progesterone,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
programa,schedule,NIH,NIH,,,Health,,,,,Refering to feeding schedule…un horario de comer. Reference: Feeding Infants in the CACFP Guide: https://www.fns.usda.gov/tn/feeding-infants-child-and-adult-care-food-program ,,,,,,,,,,,,,
Programa de Acceso a la Atención de Salud Mental Pediátrica,Pediatric Mental Health Care Access Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Acceso de Salud Rural para Veteranos,Veterans’ Rural Health Access Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Acreditación de Auditores Externos,Third-Party Accreditation Program,FDA,FDA,,,Health,Food Industry,,,,Programa de Acreditacion de Terceros,,,,,,,,,,,,,
Programa de Agricultura Apoyada por la Comunidad,Community Supported Agriculture,FDA,FDA,,CSA,Health,Food Industry,,,,,,,,,,,,,,,,,
Programa de Alcance Educativo y Sanitario sobre el Síndrome de Tourette,Tourette Health and Education Outreach program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Alimentos para el Cuidado de Niños y Adultos (CACFP,"Child and Adult Care Food Program (CACFP),Child and Adult Care Food Program",USDA-FNS,USDA-FNS,,,"Health,Health",,,,,"Multiple publications, https://fns-prod.azureedge.net/sites/default/files/tn/CACFPMilk18SP.pdf",,,,,,,,,,,,,
Programa de Apoyo a Familias Afectadas por Opioides,Opioid-Impacted Family Support Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Aprendizaje a través de la Tecnología de Telesalud,Telehealth Technology Enabled Learning Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Asistencia para Medicamentos contra el SIDA,AIDS Drug Assistance Program ,HRSA,HRSA,,ADAP,,,,,,,,,,,,,,,,,,,
Programa de Becas de Salud para Nativos Hawaianos,Native Hawaiian Health Scholarship Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Becas del Cuerpo Nacional de Servicios de Salud,National Health Service Corps Scholarship Program,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Centros de Recursos de Telesalud,Telehealth Resource Center Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Clínicas de Enfermedad del Pulmón Negro,Black Lung Clinics Program ,HRSA,HRSA,,BLCP,,,,,,,,,,,,,,,,,,,
Programa de Combate para la Escasez  de Medicamentos,Drug Shortage Program,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
Programa de Compensación por Daños Causados por Medidas Correctivas,Countermeasures Injury Compensation Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
programa de cumplimiento,compliance program,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Programa de descuentos de tarifa variable,Sliding Fee Discount Schedule,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Programa de Detección y Educación de Exposición a la Radiación,Radiation Exposure Screening and Education Program ,HRSA,HRSA,,RESEP,,,,,,,,,,,,,,,,,,,
Programa de Educación de Posgrado en Psicología,Graduate Psychology Education Program ,HRSA,HRSA,,GPE,,,,,,,,,,,,,,,,,,,
Programa de Educación y Capacitación de la Fuerza Laboral en Salud Conductual,Behavioral Health Workforce Education and Training Program ,HRSA,HRSA,,BHWET,,,,,,,,,,,,,,,,,,,
Programa de Epicentros de Prevención,Prevention Epicenters Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Equidad en Salud Ocupacional,Occupational Health Equity Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Estrategias de Administración de Maternidad y Obstetricia Rural,Rural Maternity and Obstetrics Management Strategies Program ,HRSA,HRSA,,RMOMS,,,,,,,,,,,,,,,,,,,
Programa de Evaluación de Riesgos para la Salud,Health Hazard Evaluation Program,CDC,CDC,,,Health,,,,,,,,Health Hazard Evaluations,,,,,,,,,,
Programa de Evaluación y Asistencia Técnica para el Desarrollo de la Fuerza Laboral en Salud Conductual,Behavioral Health Workforce Development Technical Assistance and Evaluation Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Exposición a Animales,Animal Exposure Program,NIH,NIH,AEP,AEP,Health,,,,,,,,,,,,,,,,,,
Programa de Infecciones Emergentes,Emerging Infections Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Infecciones Emergentes de California,California Emerging Infections Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"Programa de Investigaciones, Análisis y Servicios Geoespaciales","""Geospatial Research, Analysis and Services Program""",CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de la Red de Telesalud Basada en Evidencia,Evidence-Based Telehealth Network Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de los Centros de Salud,Health Center Program,"HRSA,HRSA-BPHC","HRSA, HRSA-BPHC",,HCP,,,,,,,,,,,,,,,,,,,
Programa de Optimización del Uso de Antibióticos,Antibiotic Stewardship Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Precios de Medicamentos 340B,340B Drug Pricing Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Prevención de Alergias a Animales de Laboratorio (LAAPP),Laboratory Animal Allergy Prevention Program ,NIH,NIH,,LAAPP,Health,,,,,,,,,,,,,,,,,,
Programa de Reconocimiento de Prevención de la Diabetes,Diabetes Prevention Recognition Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Reembolso de Préstamos del Cuerpo Nacional de Salud para Comunidades Rurales,National Health Service Corps Rural Community Loan Repayment Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Reembolso de Préstamos del Cuerpo Nacional de Servicios de Salud,National Health Service Corps Loan Repayment Program ,HRSA,HRSA,,NHSC LRP,,,,,,,,,,,,,,,,,,,
Programa de Reembolso de Préstamos del Cuerpo Nacional de Servicios de Salud para Profesionales Especializados en Trastornos por Consumo de Sustancias,National Health Service Corps Substance Use Disorder Workforce Loan Repayment Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Reembolso de Préstamos para Docentes de Salud,Faculty Loan Repayment Program ,HRSA,HRSA,,FLRP,,,,,,,,,,,,,,,,,,,
Programa de Reembolso de Préstamos para el Tratamiento y Recuperación de Trastornos por Uso de Sustancias,Substance Use Disorder Treatment and Recovery Loan Repayment Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
"Programa de Reembolso de Reclamaciones de COVID-19 a Proveedores de Atención Médica, para Pruebas, Tratamiento y Administración de Vacunas para Personas sin Seguro","""COVID-19 Claims Reimbursement to Health Care Providers and Facilities for Testing, Treatment, and Vaccine Administration for the Uninsured Program """,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Repago de Préstamos Estudiantiles a cambio de Servicio en el Cuerpo Nacional de Servicios de Salud,National Health Service Corps Students to Service Loan Repayment Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Respuesta a Opioides para Comunidades Rurales,Rural Communities Opioid Response Program ,HRSA,HRSA,,RCORP,,,,,,,,,,,,,,,,,,,
Programa de Salud del World Trade Center (WTC),World Trade Center  Health Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Salud Mental Materna y Trastorno por Uso de Sustancias,Maternal Mental Health and Substance Use Disorder Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Saneamiento en Embarcaciones,Vessel Sanitation Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Seguridad Eléctrica,Electrical Safety Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Seguro Médico para Niños,Children’s Health Insurance Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de Servicios Integrados de Salud Materna,Integrated Maternal Health Services Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Subvenciones para la Portabilidad de Licencias,Licensure Portability Grant Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Subvenciones para la Red de Telesalud,Telehealth Network Grant Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Trasplante de Células C.W. Bill Young,C.W. Bill Young Cell Transplantation Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa de Vales de Elección de Vivienda,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
Programa de Verificación de Proveedores Extranjeros,Foreign Supplier Verification Program,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Programa de Vigilancia de la Salud de los Mineros de Carbón,Coal Workers’ Health Surveillance Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa de VIH/SIDA Ryan White,Ryan White HIV/AIDS Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"Programa de Visitas Domiciliarias para Madres, Infantes y la Niñez Temprana","""Maternal, Infant, and Early Childhood Home Visiting program""",HRSA,HRSA,,,Health,,,,,,,,,,,,,,,,,,
"Programa Especial de Nutrición Suplementaria para Mujeres, Bebés y Niños","""Special Supplemental Nutrition Program for Women, Infants, and Children""",CDC,CDC,WIC,WIC,Health,,,,,,,,,,,,,,,,,,
Programa Estatal de Innovación en Salud Materna,State Maternal Health Innovation Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa Estatal del Cuerpo Nacional de Servicios de Salud para Reembolso de Préstamos,National Health Service Corps State Loan Repayment Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa FACE (Análisis de Casos de Muerte y Evaluación de Controles) de NIOSH,NIOSH FACE Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa FACE de NIOSH,NIOSH FACE Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa Global contra el Sida,Global AIDS Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"Programa Medidas de Salud Pública Estatales para Prevenir y Controlar la Diabetes, las Enfermedades Cardiacas, la Obesidad y los Factores de Riesgo Asociados y Promover la Salud Escolar","""State Public Health Actions to Prevent and Control Diabetes, Heart Disease, Obesity and Associated Risk Factors and Promote School Health Program""",CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa Nacional de Compensación de Daños Causados por Vacunas,National Vaccine Injury Compensation Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa Nacional de Control del Tabaco,National Tobacco Control Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa Nacional de Educación sobre la Diabetes,National Diabetes Education Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa Nacional de la Enfermedad de Hansen,National Hansen's Disease Program,CDC,CDC,,NHDP,Health,,,,,,,,,,,,,,,,,,
Programa Nacional de la Enfermedad de Hansen (Lepra),National Hansen’s Disease (Leprosy) Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa Nacional de Prevención de la Diabetes,National Diabetes Prevention Program,CDC,CDC,DPP Nacional,National DPP,Health,,,,,,,,National DPP,,,,,,,,,,
Programa Nacional de Seguimiento de Salud Pública Ambiental,National Environmental Public Health Tracking Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa Nacional de Vigilancia Sindrómica,National Syndromic Surveillance Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa para Reportar Efectos Adversos y Asuntos de Seguridad MedWatch,MedWatch Safety Information and Adverse Event Reporting Program,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
Programa Piloto de Banda Ancha de Telesalud,Telehealth Broadband Pilot Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programa Puente de Acceso,Bridge Access Program,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa Ryan White contra el VIH/SIDA,Ryan White HIV/AIDS Program ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
programa Superfondo (Superfund),Superfund,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Programa Vacunas para Niños,Vaccines for Children Program,CDC,CDC,VFC,,Health,,,,,,,,,,,,,,,,,,
Programa Voluntario de Importadores Calificados,Voluntary Qualified Importer Program,FDA,FDA,,VQIP,Health,Food Industry,,,,,,,,,,,,,,,,,
programas de educación y apoyo para el automanejo de la diabetes,diabetes self-management education and support programs,CDC,CDC,,DSMES,Health,,,,,,,,,,,,,,,,,,
Programas de Expansión de la Fuerza Laboral para Profesionales y Paraprofesionales en Opioides,Opioid Workforce Expansion Programs for Professionals and Paraprofessionals ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programas de Subvenciones para Personal de Salud,Health Workforce Grant programs ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Programas de Verificación de Proveedores Extranjeros y  Acreditación de Auditores Externos,Foreign Supplier Verification Programs and Third Party Accreditation,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
"programas de vivienda, servicios y cuidados congregados",congregate care enriched housing programs,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
progresar,develop,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
prohibición,banning,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
proliferación,growth,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
proliferación cianobacteriana,Cyanobacterial bloom,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prolongado,sustained,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
promedio ponderado en el tiempo,time-weighted average,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prominencia frontonasal,frontonasal prominence,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prominente,salient,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
promulgación,enactment,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
pronosticar,predict,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
pronóstico,prognosis,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
propagación generalizada o en curso en la comunidad,widespread or ongoing community spread,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
propagar,spread,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
propensión,susceptibility,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
propenso,susceptible,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
propilenglicol,"propylene glycol,propylene glycol",CDC,CDC,,,"Health,Health",Tobacco,,,,,,,,,,,,,,,,,
proponer,suggest,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
proporcionar,deliver,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
propoxur,propoxur,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
propuesta,"approach,proposal",NIH,NIH,,,"Health,Health",Food Industry,,,,,,,,,,,,,,,,,
Propuestas Competitivas,Competitive Bids ,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
propuestas de estudios con animales (ASP),Animal study proposals,NIH,NIH,,ASPs,Health,,,,,,,,,,,,,,,,,,
prospecto,package insert,FDA,FDA,,,,,, Information about the test and/or instructions that come inside the box or package.,,,,,,,,,,,,,,,
Prospecto para el paciente,Patient Package Insert,FDA,FDA,,PPI,Health,Drugs,,A patient package insert contains information for patients' understanding of how to safely use a drug product.,,,,,,,,,,,,,,,
próspero,successful,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
prostatectomía radical,radical prostatectomy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
protector solar,sunscreen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
proteger del tabaco a los niños,protecting kids from tobacco,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
proteína C-reactiva,C-reactive protein,CDC,CDC,,CRP,Health,,,,,,,,,,,,,,,,,,
proteína FMRP,FMRP protein,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
proteína L1,L1 protein,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prótesis auditiva,hearing aid,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
protocolo,protocol,FDA,FDA,,,Health,Drug Development,,"Es un estudio realizado para responder a una pregunta. Otras palabras para describir un protocolo son “investigación”, “estudio” y “experimento”. “Protocolo” también se refiere al plan que describe lo que los investigadores harán durante el estudio.",,,,,,,,,,,,,,,
protocolo de investigación,research protocol,FDA,FDA,,,Health,Drug Development,,"A document that describes the background, rationale, objectives, design, methodology, statistical considerations, and organization of a clinical research project. (Source: UCSF Clinical Research Resource HUBExternal Link Disclaimer ) A research protocol guides the study and associated data collection and analysis in a productive and standardized manner.",,,,,,,,,,,,,,,
protrombina,prothrombin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
protuberante,salient,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
provechoso,meaningful,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
proveedor de atención médica,"healthcare provider ,health care provider","CDC,NIA","FDA, CDC, NIA",,HCP,"Health,Health",,,,,,,,,,,,,,,,,,
Provisión Buy American,Buy American Provision ,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
provisional,interim,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
provocar,induce,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
próximo,close,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Proyecto de costos y utilización de la atención médica,Healthcare Cost and Utilization Project from the Agency for Healthcare,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Proyecto de Monitoreo Médico,Medical Monitoring Project,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Proyectos dirigidos por el Congreso,Congressionally directed projects,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Proyectos especiales de importancia nacional,Special Projects of National Significance ,HRSA,HRSA,,SPNS,,,,,,,,,,,,,,,,,,,
prueba aprobada,approved test,FDA,FDA,,,,,," A test that has been approved by FDA, based on the manufacturer's data showing that it is safe and effective for its intended use.
For a new type of test, or for a test that presents higher risk to the patient, the manufacturer performs studies to show that the test does what it claims to do and does not present any unreasonable risk. The manufacturer submits the results in a ""premarket approval application"" that FDA reviews. If FDA approves the application, the manufacturer can begin selling the test.",,,,,,,,,,,,,,,
prueba cualitativa,qualitative test,FDA,FDA,,,,,," A test that gives results in terms of negative or positive.Example
Pregnancy tests, ovulation tests, and drugs of abuse detection tests indicate whether or not the person has the condition.",,,,,,,,,,,,,,,
prueba cutánea de la tuberculina,tb skin test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de A1c,A1C test,CDC,CDC,,,Health,healthcare,Prueba que mide la hemoglobina A1c (o hemoglobina glucosilada). Es una simple prueba de sangre que mide el promedio de los niveles de azúcar en la sangre de los últimos tres meses.,The A1C test is a measure of the average blood sugar level over the past 3 months.,,,,,,,,,,,Feminine,Singular,Noun,,
prueba de amplificación de ácidos nucleicos,nucleic acid amplification test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de amplificación de ácidos nucleicos positiva,positive nucleic acid amplification test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de anticuerpos,antibody test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de antígenos,antigen test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de COVID-19,COVID-19 test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de diagnóstico in vitro,in vitro diagnostic test,FDA,FDA,,,,,," A medical test that analyzes body samples, such as blood, urine, stool, or saliva, for specific components or analytes.",,,,,,,,,,,,,,,
prueba de la t,t-test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de laboratorio,laboratory test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de Papanicoláu,"Pap smear,Pap test",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
prueba de PCR,PCR test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de provocación,challenge testing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de provocación con metacolina,methacholine challenge,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
prueba de punción,prick test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de QuantiFERON-TB Gold,QuantiFERON-TB Gold test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de radioalergoadsorción,radioallergosorbent test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de razonamiento,thinking test,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
prueba de sangre oculta en heces,fecal occult blood test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba de selección,screening test,FDA,FDA,,,,,," An initial or preliminary test. Screening tests do not tell you if you definitely have a disease or condition. Rather, positive results indicate that you may need additional tests or a doctor's evaluation to see if you have a particular disease or condition.",,,,,,,,,,,,,,,
prueba de una infección anterior,test for past infection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba del antígeno prostático específico,prostate specific antigen test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba del PSA,PSA test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba epsilométrica (Etest),"Epsilometer test,Etest",CDC,CDC,,,"Health,Health",,,,,,,,Etest,,,,,,,,,,
prueba exenta,exempt test,FDA,FDA,,,,,, A test that is considered to have such low risk to the patient that FDA does not require manufacturers to submit any premarket approval application or notification.,,,,,,,,,,,,,,,
